id,timestamp,susceptible,exposed,carrier,infected,hospitalized,icu,dead,recovered
b75e44e176f542aa90d783896d9adf2c,13,0,97,82,388,469,653,341,3359
b75e44e176f542aa90d783896d9adf2c,14,0,61,41,288,336,631,455,3577
b75e44e176f542aa90d783896d9adf2c,15,0,33,34,204,263,559,535,3761
b75e44e176f542aa90d783896d9adf2c,16,0,17,19,151,191,477,604,3930
b75e44e176f542aa90d783896d9adf2c,17,0,7,12,98,159,360,683,4070
b75e44e176f542aa90d783896d9adf2c,18,0,4,3,69,109,289,739,4176
b75e44e176f542aa90d783896d9adf2c,19,0,3,2,45,78,250,771,4240
b75e44e176f542aa90d783896d9adf2c,20,0,1,2,28,56,192,816,4294
b75e44e176f542aa90d783896d9adf2c,21,0,0,1,16,37,138,842,4355
b75e44e176f542aa90d783896d9adf2c,22,0,0,0,10,24,102,862,4391
b75e44e176f542aa90d783896d9adf2c,23,0,0,0,4,16,68,880,4421
b75e44e176f542aa90d783896d9adf2c,24,0,0,0,3,7,61,889,4429
b75e44e176f542aa90d783896d9adf2c,25,0,0,0,2,4,45,899,4439
b75e44e176f542aa90d783896d9adf2c,26,0,0,0,2,2,29,907,4449
b75e44e176f542aa90d783896d9adf2c,27,0,0,0,0,3,18,910,4458
b75e44e176f542aa90d783896d9adf2c,28,0,0,0,0,0,16,911,4462
b75e44e176f542aa90d783896d9adf2c,29,0,0,0,0,0,12,913,4464
b75e44e176f542aa90d783896d9adf2c,30,0,0,0,0,0,7,915,4467
b75e44e176f542aa90d783896d9adf2c,31,0,0,0,0,0,7,915,4467
b75e44e176f542aa90d783896d9adf2c,32,0,0,0,0,0,4,916,4469
b75e44e176f542aa90d783896d9adf2c,33,0,0,0,0,0,1,918,4470
b75e44e176f542aa90d783896d9adf2c,34,0,0,0,0,0,0,918,4471
9ac02784fb234952a1fa8266023a9d7f,0,3295,0,5,0,0,0,0,0
9ac02784fb234952a1fa8266023a9d7f,1,3295,0,5,0,0,0,0,0
9ac02784fb234952a1fa8266023a9d7f,2,3293,2,5,0,0,0,0,0
9ac02784fb234952a1fa8266023a9d7f,3,3292,1,4,3,0,0,0,0
9ac02784fb234952a1fa8266023a9d7f,4,3292,1,0,5,2,0,0,0
9ac02784fb234952a1fa8266023a9d7f,5,3290,3,0,2,3,0,0,2
9ac02784fb234952a1fa8266023a9d7f,6,3290,3,0,1,2,0,0,4
9ac02784fb234952a1fa8266023a9d7f,7,3290,3,0,0,2,0,0,5
9ac02784fb234952a1fa8266023a9d7f,8,3290,3,0,0,1,0,0,6
9ac02784fb234952a1fa8266023a9d7f,9,3290,1,2,0,0,0,0,7
9ac02784fb234952a1fa8266023a9d7f,10,3290,0,3,0,0,0,0,7
9ac02784fb234952a1fa8266023a9d7f,11,3289,1,0,3,0,0,0,7
9ac02784fb234952a1fa8266023a9d7f,12,3289,0,1,2,1,0,0,7
9ac02784fb234952a1fa8266023a9d7f,13,3289,0,1,2,0,0,0,8
9ac02784fb234952a1fa8266023a9d7f,14,3289,0,0,2,1,0,0,8
9ac02784fb234952a1fa8266023a9d7f,15,3289,0,0,2,1,0,0,8
9ac02784fb234952a1fa8266023a9d7f,16,3289,0,0,1,1,0,0,9
9ac02784fb234952a1fa8266023a9d7f,17,3289,0,0,0,1,0,0,10
9ac02784fb234952a1fa8266023a9d7f,18,3289,0,0,0,1,0,0,10
9ac02784fb234952a1fa8266023a9d7f,19,3289,0,0,0,0,0,0,11
287f3ad6952943a8aae6c26676798030,0,8193,0,9,0,0,0,0,0
287f3ad6952943a8aae6c26676798030,1,8187,6,7,2,0,0,0,0
287f3ad6952943a8aae6c26676798030,2,8185,6,9,0,1,0,0,1
287f3ad6952943a8aae6c26676798030,3,8178,11,9,2,0,1,0,1
287f3ad6952943a8aae6c26676798030,4,8175,13,7,4,1,0,1,1
287f3ad6952943a8aae6c26676798030,5,8173,14,7,2,2,1,1,2
287f3ad6952943a8aae6c26676798030,6,8172,14,5,3,1,1,1,5
287f3ad6952943a8aae6c26676798030,7,8171,13,4,4,1,1,1,7
287f3ad6952943a8aae6c26676798030,8,8166,17,4,4,0,1,1,9
287f3ad6952943a8aae6c26676798030,9,8162,19,6,1,2,0,2,10
287f3ad6952943a8aae6c26676798030,10,8156,23,4,4,1,0,2,12
287f3ad6952943a8aae6c26676798030,11,8153,24,5,3,2,0,2,13
287f3ad6952943a8aae6c26676798030,12,8150,24,8,2,1,2,2,13
287f3ad6952943a8aae6c26676798030,13,8147,23,11,1,0,0,3,17
287f3ad6952943a8aae6c26676798030,14,8144,23,12,2,0,0,3,18
287f3ad6952943a8aae6c26676798030,15,8136,27,13,3,2,0,3,18
287f3ad6952943a8aae6c26676798030,16,8130,32,14,1,0,1,3,21
287f3ad6952943a8aae6c26676798030,17,8121,40,13,2,1,1,3,21
287f3ad6952943a8aae6c26676798030,18,8117,39,14,4,0,0,3,25
287f3ad6952943a8aae6c26676798030,19,8111,40,14,5,2,0,3,27
287f3ad6952943a8aae6c26676798030,20,8106,40,15,5,2,0,3,31
